state,gender,education,age,n
Berlin,male,-1,3,0
Berlin,male,-1,4,0
Berlin,male,-1,5,0
Berlin,male,-1,6,0
Berlin,male,-1,7,0
Berlin,male,-1,8,0
Berlin,male,0,1,0
Berlin,male,0,2,0
Berlin,male,0,3,0
Berlin,male,0,4,0
Berlin,male,0,5,0
Berlin,male,0,6,0
Berlin,male,0,7,0
Berlin,male,0,8,0
Berlin,male,2,1,60050
Berlin,male,2,2,53180
Berlin,male,2,3,36850
Berlin,male,2,4,42490
Berlin,male,2,5,30020
Berlin,male,2,6,22300
Berlin,male,2,7,19910
Berlin,male,2,8,6240
Berlin,male,4,1,3850
Berlin,male,4,2,133300
Berlin,male,4,3,101580
Berlin,male,4,4,131360
Berlin,male,4,5,101930
Berlin,male,4,6,80680
Berlin,male,4,7,61880
Berlin,male,4,8,17140
Berlin,male,5,1,0
Berlin,male,5,2,43860
Berlin,male,5,3,92290
Berlin,male,5,4,101030
Berlin,male,5,5,83830
Berlin,male,5,6,74560
Berlin,male,5,7,55550
Berlin,male,5,8,17510
Brandenburg,female,-1,1,0
Brandenburg,female,-1,2,0
Brandenburg,female,-1,3,0
Brandenburg,female,-1,4,0
Brandenburg,female,-1,5,0
Brandenburg,female,-1,6,0
Brandenburg,female,-1,7,0
Brandenburg,female,-1,8,0
Brandenburg,female,0,1,0
Brandenburg,female,0,2,0
Brandenburg,female,0,3,0
Brandenburg,female,0,4,0
Brandenburg,female,0,5,0
Brandenburg,female,0,6,0
Brandenburg,female,0,7,0
Brandenburg,female,0,8,0
Brandenburg,female,2,1,34640
Brandenburg,female,2,2,17950
Brandenburg,female,2,3,9810
Brandenburg,female,2,4,10930
Brandenburg,female,2,5,14280
Brandenburg,female,2,6,17580
Brandenburg,female,2,7,46320
Brandenburg,female,2,8,40130
Brandenburg,female,4,1,3570
Brandenburg,female,4,2,87040
Brandenburg,female,4,3,76830
Brandenburg,female,4,4,119700
Brandenburg,female,4,5,115240
Brandenburg,female,4,6,80000
Brandenburg,female,4,7,79840
Brandenburg,female,4,8,34570
Brandenburg,female,5,1,100
Brandenburg,female,5,2,23380
Brandenburg,female,5,3,42010
Brandenburg,female,5,4,78360
Brandenburg,female,5,5,78220
Brandenburg,female,5,6,50020
Brandenburg,female,5,7,33040
Brandenburg,female,5,8,8360
Brandenburg,male,-1,1,0
Brandenburg,male,-1,2,0
Brandenburg,male,-1,3,0
Brandenburg,male,-1,4,0
Brandenburg,male,-1,5,0
Brandenburg,male,-1,6,0
Brandenburg,male,-1,7,0
Brandenburg,male,-1,8,0
Brandenburg,male,0,1,0
Brandenburg,male,0,2,0
Brandenburg,male,0,3,0
Brandenburg,male,0,4,0
Brandenburg,male,0,5,0
Brandenburg,male,0,6,0
Brandenburg,male,0,7,0
Brandenburg,male,0,8,0
Brandenburg,male,2,1,37810
Brandenburg,male,2,2,25680
Brandenburg,male,2,3,11990
Brandenburg,male,2,4,12780
Brandenburg,male,2,5,12680
Brandenburg,male,2,6,8330
Brandenburg,male,2,7,15260
Brandenburg,male,2,8,6250
Brandenburg,male,4,1,2910
Brandenburg,male,4,2,105400
Brandenburg,male,4,3,89920
