state,gender,age,education,uni,cohesion
Baden-Württemberg,male,7,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,female,3,5,ja,kein großer Unterschied
Brandenburg,male,6,5,ja,kein großer Unterschied
Berlin,female,6,5,ja,eher mehr
Niedersachsen,male,7,2,Frage nicht gestellt,eher mehr
Berlin,female,7,5,ja,kein großer Unterschied
Berlin,male,7,2,Frage nicht gestellt,kein großer Unterschied
Mecklenburg-Vorpommern,female,6,2,Frage nicht gestellt,eher mehr
Sachsen,female,8,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,6,5,ja,eher weniger
Brandenburg,male,7,4,nein,eher mehr
Thüringen,male,6,5,ja,kein großer Unterschied
Brandenburg,female,5,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,female,6,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,4,4,nein,kein großer Unterschied
Nordrhein-Westfalen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,male,7,2,Frage nicht gestellt,eher weniger
Hamburg,female,7,2,Frage nicht gestellt,eher mehr
Bayern,female,6,5,ja,kein großer Unterschied
Bayern,male,6,5,ja,eher mehr
Sachsen,female,6,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,female,5,2,Frage nicht gestellt,kein großer Unterschied
Schleswig-Holstein,female,6,2,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,male,3,2,Frage nicht gestellt,eher mehr
Brandenburg,female,5,4,nein,eher mehr
Sachsen-Anhalt,female,7,2,Frage nicht gestellt,eher weniger
Brandenburg,female,6,5,ja,eher mehr
Bayern,male,4,5,ja,kein großer Unterschied
Sachsen-Anhalt,female,6,2,Frage nicht gestellt,kein großer Unterschied
Saarland,female,5,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,female,5,4,nein,eher mehr
Brandenburg,male,7,5,ja,kein großer Unterschied
Bayern,female,6,2,Frage nicht gestellt,kein großer Unterschied
Rheinland-Pfalz,female,7,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,male,6,2,Frage nicht gestellt,kein großer Unterschied
Bayern,male,5,5,ja,kein großer Unterschied
Brandenburg,male,5,4,nein,eher mehr
Hamburg,male,7,2,Frage nicht gestellt,eher mehr
Brandenburg,male,3,4,nein,kein großer Unterschied
Nordrhein-Westfalen,female,8,2,Frage nicht gestellt,eher mehr
Sachsen,male,7,5,ja,eher weniger
Brandenburg,female,5,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,4,2,Frage nicht gestellt,eher mehr
Sachsen,male,7,5,ja,kein großer Unterschied
Hessen,male,7,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,7,2,Frage nicht gestellt,eher mehr
Thüringen,male,7,2,Frage nicht gestellt,eher weniger
Mecklenburg-Vorpommern,male,6,5,ja,eher mehr
Brandenburg,female,7,2,Frage nicht gestellt,eher weniger
Sachsen,male,6,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,6,5,ja,kein großer Unterschied
Sachsen-Anhalt,male,5,2,Frage nicht gestellt,eher mehr
Hessen,male,7,5,ja,eher mehr
Brandenburg,female,7,2,Frage nicht gestellt,eher mehr
Brandenburg,male,4,2,Frage nicht gestellt,eher mehr
Niedersachsen,male,5,4,nein,eher mehr
Nordrhein-Westfalen,female,4,4,nein,eher weniger
Niedersachsen,male,5,5,ja,kein großer Unterschied
Sachsen-Anhalt,female,5,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,7,2,Frage nicht gestellt,eher mehr
Brandenburg,male,6,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,7,2,Frage nicht gestellt,eher mehr
Sachsen,male,6,5,ja,eher weniger
Hessen,male,4,2,Frage nicht gestellt,kein großer Unterschied
Rheinland-Pfalz,female,8,2,Frage nicht gestellt,eher mehr
Saarland,female,4,5,ja,eher mehr
Berlin,male,5,5,ja,eher mehr
Niedersachsen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,1,4,nein,kein großer Unterschied
Sachsen,male,6,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,male,4,5,ja,eher mehr
Bayern,female,4,2,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,female,5,4,nein,kein großer Unterschied
Thüringen,female,6,2,Frage nicht gestellt,eher weniger
Mecklenburg-Vorpommern,male,7,5,ja,kein großer Unterschied
Brandenburg,female,8,5,ja,eher mehr
Nordrhein-Westfalen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Berlin,male,5,5,ja,eher weniger
Schleswig-Holstein,male,7,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,5,2,Frage nicht gestellt,eher weniger
Rheinland-Pfalz,female,5,5,ja,eher mehr
Baden-Württemberg,male,4,2,Frage nicht gestellt,kein großer Unterschied
Berlin,male,4,4,nein,eher weniger
Saarland,male,5,4,nein,eher mehr
Sachsen-Anhalt,male,8,5,ja,eher mehr
Hessen,female,3,5,ja,eher weniger
Sachsen-Anhalt,female,6,5,ja,eher weniger
Nordrhein-Westfalen,male,5,5,ja,kein großer Unterschied
Brandenburg,male,6,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,female,6,2,Frage nicht gestellt,eher mehr
Brandenburg,female,6,2,Frage nicht gestellt,kein großer Unterschied
Berlin,female,3,2,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,male,2,2,Frage nicht gestellt,eher mehr
Brandenburg,male,4,5,ja,kein großer Unterschied
Sachsen,female,6,5,ja,eher weniger
Bayern,male,6,2,Frage nicht gestellt,kein großer Unterschied
Thüringen,female,5,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,7,5,ja,eher mehr
Niedersachsen,female,4,5,ja,eher weniger
Hessen,female,5,4,nein,eher mehr
Bayern,female,4,5,ja,eher mehr
Baden-Württemberg,male,6,5,ja,kein großer Unterschied
Sachsen,female,6,2,Frage nicht gestellt,eher mehr
Brandenburg,female,7,5,ja,eher mehr
Baden-Württemberg,female,4,5,ja,kein großer Unterschied
Bayern,female,4,4,nein,eher weniger
Baden-Württemberg,female,6,2,Frage nicht gestellt,kein großer Unterschied
Hamburg,female,7,2,Frage nicht gestellt,eher mehr
Berlin,female,7,2,Frage nicht gestellt,eher mehr
Hessen,female,5,2,Frage nicht gestellt,eher mehr
Rheinland-Pfalz,male,8,5,ja,eher weniger
Thüringen,male,6,5,ja,kein großer Unterschied
Hamburg,female,5,5,ja,eher weniger
Bayern,female,7,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,3,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,8,4,nein,eher mehr
Nordrhein-Westfalen,female,8,2,Frage nicht gestellt,eher mehr
Sachsen,female,8,5,ja,eher weniger
Mecklenburg-Vorpommern,female,5,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,5,5,ja,eher weniger
Hessen,female,4,5,ja,kein großer Unterschied
Brandenburg,female,7,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,male,8,2,Frage nicht gestellt,eher mehr
Brandenburg,female,5,2,Frage nicht gestellt,kein großer Unterschied
Thüringen,male,5,5,ja,kein großer Unterschied
Mecklenburg-Vorpommern,male,5,5,ja,eher mehr
Niedersachsen,male,3,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,female,3,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,female,8,2,Frage nicht gestellt,eher weniger
Sachsen-Anhalt,male,5,5,ja,kein großer Unterschied
Hessen,male,6,4,nein,kein großer Unterschied
Sachsen,female,6,5,ja,kein großer Unterschied
Sachsen,male,8,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,female,1,4,nein,kein großer Unterschied
Schleswig-Holstein,female,3,5,ja,eher mehr
Hessen,female,4,5,ja,kein großer Unterschied
Bayern,female,4,2,Frage nicht gestellt,eher weniger
Sachsen-Anhalt,male,6,5,ja,kein großer Unterschied
Nordrhein-Westfalen,male,6,4,nein,kein großer Unterschied
Niedersachsen,male,2,2,Frage nicht gestellt,eher mehr
Mecklenburg-Vorpommern,male,8,5,ja,kein großer Unterschied
Sachsen,female,4,5,ja,kein großer Unterschied
Sachsen,female,8,2,Frage nicht gestellt,eher mehr
Thüringen,male,5,5,ja,eher weniger
Sachsen,female,6,2,Frage nicht gestellt,eher mehr
Sachsen,female,5,2,Frage nicht gestellt,eher weniger
Sachsen-Anhalt,female,6,2,Frage nicht gestellt,eher mehr
Sachsen,female,7,4,nein,eher weniger
Nordrhein-Westfalen,female,3,5,ja,kein großer Unterschied
Schleswig-Holstein,male,6,5,ja,eher mehr
Sachsen-Anhalt,female,6,0,Frage nicht gestellt,eher mehr
Bayern,female,5,2,Frage nicht gestellt,eher weniger
Sachsen-Anhalt,male,6,5,ja,kein großer Unterschied
Nordrhein-Westfalen,male,5,2,Frage nicht gestellt,eher mehr
Mecklenburg-Vorpommern,male,4,2,Frage nicht gestellt,eher weniger
Sachsen,female,8,2,Frage nicht gestellt,eher weniger
Thüringen,female,6,5,ja,kein großer Unterschied
Thüringen,female,3,5,ja,eher weniger
Mecklenburg-Vorpommern,female,6,2,Frage nicht gestellt,eher mehr
Sachsen-Anhalt,female,6,5,ja,kein großer Unterschied
Sachsen,male,6,5,ja,eher weniger
Berlin,female,7,4,nein,kein großer Unterschied
Baden-Württemberg,male,4,4,nein,eher mehr
Nordrhein-Westfalen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Hessen,male,7,2,Frage nicht gestellt,eher mehr
Rheinland-Pfalz,male,3,5,ja,kein großer Unterschied
Sachsen,male,7,5,ja,kein großer Unterschied
Sachsen,male,8,2,Frage nicht gestellt,eher mehr
Rheinland-Pfalz,male,5,5,ja,eher mehr
Nordrhein-Westfalen,female,7,4,nein,eher mehr
Baden-Württemberg,female,7,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,female,7,2,Frage nicht gestellt,kein großer Unterschied
Bayern,male,7,5,ja,kein großer Unterschied
Rheinland-Pfalz,male,6,5,ja,eher weniger
Bayern,male,6,2,Frage nicht gestellt,eher mehr
Brandenburg,male,6,5,ja,kein großer Unterschied
Sachsen,male,6,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,male,8,5,ja,kein großer Unterschied
Schleswig-Holstein,female,5,5,ja,kein großer Unterschied
Berlin,male,6,5,ja,kein großer Unterschied
Berlin,male,3,5,ja,eher mehr
Hessen,male,3,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,8,2,Frage nicht gestellt,eher weniger
Mecklenburg-Vorpommern,male,5,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,male,6,5,ja,eher mehr
Baden-Württemberg,male,5,2,Frage nicht gestellt,eher weniger
Bayern,male,6,2,Frage nicht gestellt,eher weniger
Bayern,male,4,4,nein,eher weniger
Sachsen,male,6,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,6,2,Frage nicht gestellt,eher mehr
Niedersachsen,male,6,2,Frage nicht gestellt,eher weniger
Baden-Württemberg,male,6,5,ja,kein großer Unterschied
Bayern,male,6,-1,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,male,6,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,female,4,2,Frage nicht gestellt,eher weniger
Niedersachsen,female,2,2,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,female,5,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,male,4,4,nein,eher weniger
Brandenburg,female,6,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,7,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,male,6,2,Frage nicht gestellt,eher weniger
Sachsen,female,5,5,ja,eher weniger
Sachsen-Anhalt,female,6,2,Frage nicht gestellt,eher weniger
Sachsen,male,8,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,5,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,female,3,2,Frage nicht gestellt,kein großer Unterschied
Thüringen,female,6,5,ja,kein großer Unterschied
Bayern,female,7,2,Frage nicht gestellt,eher mehr
Sachsen,male,4,2,Frage nicht gestellt,kein großer Unterschied
Hessen,male,4,5,ja,eher weniger
Baden-Württemberg,male,5,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,female,3,2,Frage nicht gestellt,eher weniger
Baden-Württemberg,female,7,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,6,2,Frage nicht gestellt,eher mehr
Sachsen-Anhalt,male,6,2,Frage nicht gestellt,eher weniger
Brandenburg,male,4,5,ja,kein großer Unterschied
Baden-Württemberg,female,8,5,ja,kein großer Unterschied
Baden-Württemberg,male,8,0,Frage nicht gestellt,kein großer Unterschied
Schleswig-Holstein,male,6,5,ja,kein großer Unterschied
Hamburg,female,4,5,ja,kein großer Unterschied
Niedersachsen,male,5,2,Frage nicht gestellt,eher mehr
Mecklenburg-Vorpommern,female,4,5,ja,kein großer Unterschied
Baden-Württemberg,female,4,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,female,8,5,ja,kein großer Unterschied
Baden-Württemberg,male,3,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,male,8,5,ja,eher mehr
Thüringen,female,7,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,male,7,5,ja,eher weniger
Rheinland-Pfalz,female,5,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,female,7,5,ja,eher mehr
Schleswig-Holstein,male,8,2,Frage nicht gestellt,eher weniger
Niedersachsen,female,5,2,Frage nicht gestellt,eher weniger
Berlin,female,5,5,ja,kein großer Unterschied
Mecklenburg-Vorpommern,male,4,5,ja,kein großer Unterschied
Mecklenburg-Vorpommern,male,5,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,female,4,2,Frage nicht gestellt,eher mehr
Thüringen,male,7,5,ja,kein großer Unterschied
Baden-Württemberg,male,5,5,ja,eher mehr
Brandenburg,male,8,5,ja,eher mehr
Sachsen,female,7,2,Frage nicht gestellt,eher weniger
Berlin,male,4,5,ja,kein großer Unterschied
Baden-Württemberg,male,2,5,ja,eher weniger
Bayern,female,1,2,Frage nicht gestellt,kein großer Unterschied
Brandenburg,female,7,2,Frage nicht gestellt,kein großer Unterschied
Thüringen,female,3,2,Frage nicht gestellt,kein großer Unterschied
Bayern,male,3,2,Frage nicht gestellt,eher mehr
Hamburg,female,5,2,Frage nicht gestellt,eher mehr
Sachsen,male,5,4,nein,eher weniger
Brandenburg,female,4,2,Frage nicht gestellt,eher weniger
Baden-Württemberg,female,7,2,Frage nicht gestellt,eher weniger
Sachsen,male,6,2,Frage nicht gestellt,eher weniger
Berlin,male,6,2,Frage nicht gestellt,kein großer Unterschied
Niedersachsen,female,6,5,ja,eher weniger
Mecklenburg-Vorpommern,female,4,5,ja,eher weniger
Brandenburg,female,7,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,7,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,7,2,Frage nicht gestellt,eher weniger
Sachsen-Anhalt,female,2,2,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,male,6,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,male,5,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,male,6,2,Frage nicht gestellt,eher weniger
Bayern,male,6,2,Frage nicht gestellt,eher weniger
Baden-Württemberg,female,5,4,nein,kein großer Unterschied
Thüringen,male,6,5,ja,eher weniger
Bayern,female,8,2,Frage nicht gestellt,kein großer Unterschied
Berlin,male,5,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,6,2,Frage nicht gestellt,eher mehr
Brandenburg,female,6,5,ja,eher mehr
Berlin,female,6,5,ja,eher mehr
Brandenburg,female,6,2,Frage nicht gestellt,eher mehr
Sachsen-Anhalt,female,8,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,8,2,Frage nicht gestellt,eher weniger
Nordrhein-Westfalen,female,6,2,Frage nicht gestellt,eher mehr
Brandenburg,male,6,5,ja,kein großer Unterschied
Hessen,male,5,5,ja,eher mehr
Mecklenburg-Vorpommern,male,6,5,ja,eher mehr
Baden-Württemberg,female,3,5,ja,kein großer Unterschied
Niedersachsen,female,3,-1,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,male,7,2,Frage nicht gestellt,eher weniger
Baden-Württemberg,male,6,2,Frage nicht gestellt,eher mehr
Berlin,female,6,5,ja,eher mehr
Bremen,female,6,5,ja,eher mehr
Bayern,female,4,2,Frage nicht gestellt,eher mehr
Bayern,male,5,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,female,3,2,Frage nicht gestellt,eher mehr
Niedersachsen,female,6,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,female,4,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,4,5,ja,kein großer Unterschied
Thüringen,male,5,5,ja,kein großer Unterschied
Nordrhein-Westfalen,female,4,4,nein,kein großer Unterschied
Bayern,female,8,2,Frage nicht gestellt,eher mehr
Nordrhein-Westfalen,male,4,5,ja,eher weniger
Baden-Württemberg,male,4,4,nein,kein großer Unterschied
Hessen,male,2,4,nein,kein großer Unterschied
Baden-Württemberg,female,3,5,ja,eher weniger
Berlin,female,6,5,ja,kein großer Unterschied
Sachsen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Hessen,male,4,5,ja,eher weniger
Bayern,male,8,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,female,6,5,ja,eher mehr
Niedersachsen,female,4,5,ja,kein großer Unterschied
Schleswig-Holstein,male,6,5,ja,eher mehr
Sachsen-Anhalt,male,4,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,5,5,ja,eher mehr
Rheinland-Pfalz,female,6,2,Frage nicht gestellt,eher mehr
Hamburg,male,4,5,ja,kein großer Unterschied
Sachsen-Anhalt,male,4,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,male,5,5,ja,eher weniger
Brandenburg,female,6,2,Frage nicht gestellt,eher mehr
Berlin,male,4,5,ja,eher mehr
Baden-Württemberg,female,8,5,ja,kein großer Unterschied
Berlin,female,4,5,ja,eher mehr
Nordrhein-Westfalen,female,5,2,Frage nicht gestellt,eher mehr
Niedersachsen,female,7,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,male,6,5,ja,eher mehr
Nordrhein-Westfalen,male,5,2,Frage nicht gestellt,kein großer Unterschied
Berlin,female,6,4,nein,kein großer Unterschied
Sachsen-Anhalt,male,5,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,7,2,Frage nicht gestellt,eher weniger
Berlin,female,4,5,ja,kein großer Unterschied
Bayern,female,7,2,Frage nicht gestellt,eher mehr
Rheinland-Pfalz,female,3,2,Frage nicht gestellt,kein großer Unterschied
Bayern,male,4,5,ja,kein großer Unterschied
Hessen,male,7,2,Frage nicht gestellt,eher mehr
Niedersachsen,female,1,-1,Frage nicht gestellt,kein großer Unterschied
Berlin,male,5,2,Frage nicht gestellt,eher weniger
Bayern,male,5,0,Frage nicht gestellt,eher mehr
Brandenburg,female,5,5,ja,kein großer Unterschied
Sachsen,female,6,2,Frage nicht gestellt,eher weniger
Berlin,female,5,2,Frage nicht gestellt,eher mehr
Mecklenburg-Vorpommern,male,3,0,Frage nicht gestellt,eher mehr
Saarland,male,7,2,Frage nicht gestellt,eher mehr
Bayern,male,7,2,Frage nicht gestellt,eher mehr
Brandenburg,male,6,5,ja,eher mehr
Baden-Württemberg,male,6,4,nein,eher weniger
Berlin,female,7,5,ja,kein großer Unterschied
Sachsen,female,7,5,ja,kein großer Unterschied
Rheinland-Pfalz,male,7,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,male,8,5,ja,eher mehr
Sachsen-Anhalt,female,3,4,nein,eher weniger
Sachsen,female,4,2,Frage nicht gestellt,kein großer Unterschied
Baden-Württemberg,male,7,5,ja,kein großer Unterschied
Rheinland-Pfalz,male,5,2,Frage nicht gestellt,kein großer Unterschied
Sachsen,male,5,5,ja,kein großer Unterschied
Berlin,male,8,5,ja,eher weniger
Niedersachsen,female,8,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,male,5,5,ja,eher weniger
Nordrhein-Westfalen,male,6,5,ja,eher mehr
Baden-Württemberg,male,7,5,ja,kein großer Unterschied
Brandenburg,female,5,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,5,4,nein,kein großer Unterschied
Nordrhein-Westfalen,female,6,4,nein,eher weniger
Nordrhein-Westfalen,male,7,5,ja,eher weniger
Nordrhein-Westfalen,male,6,4,nein,eher mehr
Sachsen-Anhalt,female,5,2,Frage nicht gestellt,eher mehr
Hessen,female,2,5,ja,eher mehr
Nordrhein-Westfalen,male,6,2,Frage nicht gestellt,eher mehr
Sachsen,male,8,5,ja,kein großer Unterschied
Thüringen,male,3,2,Frage nicht gestellt,kein großer Unterschied
Bayern,female,7,2,Frage nicht gestellt,kein großer Unterschied
Sachsen-Anhalt,male,2,4,nein,kein großer Unterschied
Berlin,female,5,2,Frage nicht gestellt,eher weniger
Rheinland-Pfalz,male,5,2,Frage nicht gestellt,eher mehr
Baden-Württemberg,male,6,2,Frage nicht gestellt,kein großer Unterschied
Nordrhein-Westfalen,female,3,5,ja,eher mehr
Sachsen,female,8,2,Frage nicht gestellt,kein großer Unterschied
Thüringen,female,6,5,ja,kein großer Unterschied
