state,gender,age,education,eher mehr,eher weniger,kein großer Unterschied,cohesion_c,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Bayern,female,2,5,0,0,1,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,3,2,1,2,3,1,6,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,3,4,1,0,0,1,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,3,5,3,2,3,3,8,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,2,2,3,5,2,10,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,4,2,1,0,2,3,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,4,5,4,2,2,4,8,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,-1,0,0,1,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,2,8,3,4,8,15,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,4,2,2,0,2,4,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,5,5,1,0,4,1,5,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,6,2,11,1,6,11,18,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,6,5,3,2,3,3,8,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,7,2,6,2,7,6,15,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,7,4,1,0,0,1,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,7,5,2,0,0,2,2,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,female,8,2,2,2,2,2,6,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,1,-1,1,0,0,1,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,1,2,0,1,0,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,1,4,0,1,0,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,2,1,1,3,1,5,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,4,3,0,2,3,5,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,2,5,1,0,1,1,2,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,3,2,7,4,1,7,12,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,3,4,0,1,0,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,3,5,4,1,2,4,7,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,2,2,3,4,2,9,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,4,4,2,0,4,6,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,4,5,1,2,4,1,7,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,0,1,0,0,1,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,2,5,1,11,5,17,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,4,1,0,2,1,3,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,5,5,4,0,6,4,10,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,6,-1,1,1,0,1,2,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,6,2,5,4,3,5,12,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,6,4,0,0,1,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,6,5,4,1,2,4,7,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,7,2,5,0,2,5,7,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,7,4,0,0,1,0,1,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,7,5,2,0,5,2,7,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,8,2,4,0,0,4,4,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Bayern,male,8,5,1,0,1,1,2,366.26918934800244,5.367880407549691,0.947,0.951,0.952,0.938
Berlin,female,1,4,0,0,1,0,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,2,1,0,0,1,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,2,4,1,0,0,1,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,3,2,1,1,0,1,2,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,3,4,0,0,1,0,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,3,5,2,0,1,2,3,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,4,0,0,3,0,3,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,4,5,2,0,5,2,7,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,2,1,3,3,1,7,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,5,5,3,0,3,3,6,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,6,-1,0,0,1,0,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,6,2,2,1,1,2,4,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,6,4,0,0,1,0,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,6,5,6,0,3,6,9,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,7,2,3,0,1,3,4,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,7,4,0,0,1,0,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,7,5,0,0,2,0,2,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,8,-1,1,0,0,1,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,female,8,2,1,0,1,1,2,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,1,2,1,0,0,1,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,2,4,0,1,1,0,2,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,3,2,0,1,1,0,2,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,3,4,1,1,1,1,3,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,3,5,3,0,3,3,6,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,2,0,1,0,0,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,4,1,2,1,1,4,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,4,5,1,0,5,1,6,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,2,2,1,2,2,5,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,5,5,1,2,4,1,7,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,6,2,1,2,2,1,5,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,6,5,0,1,3,0,4,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,7,2,0,0,4,0,4,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,7,4,1,1,0,1,2,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,7,5,1,0,0,1,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,8,2,1,0,0,1,1,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Berlin,male,8,5,2,1,1,2,4,218.77587572081632,2.6460998244293954,0.95,0.939,0.923,0.99
Brandenburg,female,1,4,0,0,1,0,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,2,5,1,0,0,1,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,3,4,0,0,2,0,2,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,3,5,0,0,1,0,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,2,0,1,2,0,3,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,4,5,0,1,0,0,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,2,2,2,7,2,11,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,4,1,0,0,1,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,5,5,4,0,6,4,10,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,6,2,6,1,5,6,12,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,6,5,2,1,4,2,7,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,7,2,3,1,4,3,8,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,7,5,5,0,3,5,8,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,8,2,2,1,0,2,3,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,female,8,5,2,0,0,2,2,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,3,2,1,0,1,1,2,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,3,4,0,0,2,0,2,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,3,5,1,0,2,1,3,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,2,2,0,4,2,6,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,4,1,0,0,1,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,4,5,0,0,3,0,3,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,2,2,1,3,2,6,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
